fips,random_intercept
06107,2.197754875514195
06109,2.0094598823556247
06111,2.10738692986831
06113,-0.4605834589032952
06115,-0.533752339407312
08001,-0.2542084609512487
08003,0.13626424746096305
08005,-0.11104638548760111
08007,-0.08699380442426813
08009,2.4550985599636386
08011,1.1827591817060097
08013,1.613642334087573
08014,-1.7492585805716352
08015,-0.36670586060021065
08017,-0.26569790603810933
08019,-2.0623065383573005
08021,-0.9915839094381752
08023,-1.18379741038229
08025,-0.49024037216492816
08027,-0.7088424573403693
08029,2.7263704872542855
08031,0.7083978164906531
08033,0.9546861778616526
08035,0.37124986322879583
08037,0.09905279426970375
08039,-0.962807220097431
08041,1.771251148633427
08043,0.9185308482761823
08045,1.7228059945635827
08047,-0.9832298483363024
08049,-0.30073359389084525
08051,0.29035637464499947
08053,-1.0608635946162712
08055,1.2456393783784334
08057,-0.2930852100121844
08059,-0.5151396791163374
08061,1.260288506802028
08063,-0.35979508067461285
08065,-0.7898767219812389
08067,-0.0026136063246261975
08069,0.9756480163908011
08071,0.11347496438657331
08073,-0.4029220531034839
08075,-0.6183331850543223
08077,2.3315499250606164
08079,-0.822636709677525
08081,2.813984612356208
08083,-0.1660306463824185
08085,0.7932190333953244
08087,-0.6831473270430525
08089,0.42754916319997965
08091,-1.6064321143730607
08093,1.1916871186469484
08095,-0.30174584031618695
08097,-0.01821750382667327
08099,0.9168595183891094
08101,-0.6501294145832168
08103,0.9261845965460511
08105,-0.8255312921664717
08107,-0.48547824233077047
08109,-0.18135683048472956
08111,-1.40383634934547
08113,-1.2654573984534077
08115,-0.3692950926841734
08117,0.07972855949713793
08119,0.6854218482184441
08121,-0.322672147155593
08123,0.9756244901486649
08125,-0.29201596936988045
09110,2.7285068514864936
09120,0.1752454169705967
09130,1.9231829797728315
09140,0.21455041118459775
09150,0.9661948198171456
09160,1.4668759977521972
09170,2.7519290322106924
09180,1.3222253288622983
09190,0.8403404392167324
10001,-0.49100347270774525
10003,-2.1296468517194937
10005,-1.5909797720900347
11001,0.4609108226093384
12001,0.8840741408547076
12003,1.1050797592790047
12005,0.9030574345924675
12007,1.0103785889947212
12009,1.3490967389185915
12011,1.0978040484860694
12013,-0.5972860040706959
12015,-0.49582366773965614
12017,2.5512477997744223
12019,0.4490059467758614
12021,1.7451281327627257
12023,-0.28802192727627524
12027,-1.0701477235250958
12029,-0.5426193679525316
12031,1.1082309857177386
12033,0.11395654058702707
12035,-0.3461354673174087
12037,0.63003186630418
12039,-0.6533993745368718
12041,-1.1279702807431935
12043,0.9497419710785305
12045,0.6847022719366658
12047,-0.8005737258768743
12049,-0.09787480743736121
12051,-1.2800398370730892
12053,-0.6886919381199724
12055,-1.7460011067979155
12057,1.3100094527656823
12059,-0.5635944213191343
12061,1.8351400982195127
12063,0.4340585997699662
12065,-0.90779137925768
12067,-0.555814395650514
12069,-0.68682616348742
12071,1.60193202305323
12073,-0.3906161404927999
12075,-1.323806745962694
12077,-0.6391576081629312
12079,0.007399302691726251
12081,1.1307397917725237
12083,-0.7378302831083091
12085,0.15446640218118202
12086,0.8391852924139449
12087,2.4018404915839344
12089,-0.22007162405857775
12091,0.11011905599605926
12093,-0.13433520700371226
12095,0.6794035841590579
12097,-2.966816514776218
12099,1.3507186911982243
12101,-2.161464754836626
12103,1.6906499756417
12105,1.0094495252763986
12107,0.6078814886525395
12109,-1.3337037469146946
12111,0.31159556746477124
12113,-1.6159389189252427
12115,0.14494665148141522
12117,-1.1452772884896094
12119,-0.47498305796486767
12121,0.554677236799774
12123,-0.9164168895642245
12125,0.4465832087964638
12127,0.10167852535819254
12129,-0.9912636379011404
12131,0.5347695351497672
12133,-0.9356397924434733
13001,-0.44276985499003513
13003,-0.5301001606623
13005,-0.40088414834186664
13007,-0.739108348425605
13009,-1.1191536379241178
13011,-0.30623112480229964
13013,-0.2754750137174777
13015,0.0563358908830765
13017,-0.48942947409006404
13019,-0.4245931321705399
13021,-0.8268912305743356
13023,-0.5009006529138025
13025,-0.6631700527031767
13027,-1.1386134245791701
13029,-0.24545895534722237
13031,0.8566822002622205
13033,-1.587321625167852
13035,-0.9193472868240781
13037,-0.986391124865916
13039,-1.327458841740543
13043,-0.7656908733499104
13045,-0.9438315296182754
13047,-0.9209703530459955
13049,3.164057670554303
13051,-0.6132328019377489
13053,0.254490180457263
13055,-0.48997997583209285
13057,-1.2851429131027556
13059,0.9919878096563544
13061,0.08215277199500187
13063,-0.3379980702008914
13065,0.6231016275765348
13067,0.7564415210975182
13069,-0.7083173314950904
13071,-0.8188803011226968
13073,-0.8137348072286974
13075,-1.010778701898905
13077,-0.4116541436938073
13079,-0.8417466108531477
13081,-0.7192161553011789
13083,0.2666464118907129
13085,-0.8000654533534868
13087,-0.090351185298927425
13089,-0.47968413466645254
13091,-0.3583596674088387
13093,-0.866618597445216
13095,-1.8018949453166266
13097,-0.7273645477574435
13099,-0.12826919238836376
13101,0.2570517983733272
13103,-1.5453688285293223
13105,-0.611935145573782
13107,-0.5909883726006739
13109,-0.8280214279917407
13111,-0.4247785913112582
13113,-1.2442521540751879
13115,0.13647804209919231
13117,-1.4680170575423819
13119,-0.24432304035453564
13121,1.3718807691808352
13123,-0.6010751579666144
13125,-0.3006165837331727
13127,-0.14146054565130958
13129,-0.6907128711922231
13131,-0.01967261515929388
13133,0.11502244782170173
13135,-0.40478920451131867
13137,-0.5912086156358082
13139,-0.1020948239047667
13141,-1.030623869952533
13143,-0.537643424884129
13145,-1.1950224028613996
13147,-0.702064175015299
13149,-0.48130444864984995
13151,-2.363416124833235
13153,-0.8846302362983455
13155,0.894677559451193
